order_id,order_date,customer_id,customer_name,product,category,region,quantity,unit_price,revenue,discount,profit
1,2025-11-24,CUST0058,Customer 0058,Laptop,Electronics,North,3,65000,185250.0,0.05,20506.87
2,2025-12-13,CUST0380,Customer 0380,Jeans,Fashion,North,1,2500,2200.0,0.12,191.38
3,2025-04-22,CUST0120,Customer 0120,Jeans,Fashion,West,5,2500,12375.0,0.01,1531.34
4,2025-04-23,CUST0230,Customer 0230,Coffee,Grocery,South,3,500,1260.0,0.16,102.6
5,2025-12-24,CUST0217,Customer 0217,Desk,Furniture,East,3,12000,34920.0,0.03,10147.29
6,2025-02-22,CUST0048,Customer 0048,Shoes,Fashion,East,1,4000,3720.0,0.07,579.09
7,2025-01-23,CUST0374,Customer 0374,T-Shirt,Fashion,North,5,1200,5880.0,0.02,1663.48
8,2025-10-10,CUST0151,Customer 0151,Rice,Grocery,South,5,1000,4100.0,0.18,654.19
9,2025-12-27,CUST0036,Customer 0036,Laptop,Electronics,South,2,65000,110500.0,0.15,32790.74
10,2025-02-21,CUST0195,Customer 0195,Chair,Furniture,East,4,7000,24360.0,0.13,3904.01
11,2025-07-01,CUST0108,Customer 0108,Rice,Grocery,North,3,1000,2580.0,0.14,594.38
12,2025-11-08,CUST0326,Customer 0326,Headphones,Electronics,West,5,3000,12750.0,0.15,1478.34
13,2025-05-19,CUST0474,Customer 0474,Rice,Grocery,North,5,1000,4800.0,0.04,726.44
14,2025-04-28,CUST0421,Customer 0421,Laptop,Electronics,East,3,65000,179400.0,0.08,16964.33
15,2025-04-19,CUST0336,Customer 0336,T-Shirt,Fashion,South,4,1200,3936.0,0.18,871.54
16,2025-05-16,CUST0072,Customer 0072,Keyboard,Electronics,West,5,2500,11125.0,0.11,2718.32
17,2025-10-26,CUST0205,Customer 0205,Desk,Furniture,West,2,12000,19200.0,0.2,2120.31
18,2025-02-16,CUST0387,Customer 0387,Laptop,Electronics,West,1,65000,63050.0,0.03,7263.11
19,2025-11-02,CUST0033,Customer 0033,Shoes,Fashion,East,4,4000,14080.0,0.12,2576.23
20,2025-10-11,CUST0441,Customer 0441,Laptop,Electronics,East,1,65000,55900.0,0.14,11075.66
21,2025-11-25,CUST0175,Customer 0175,Phone,Electronics,East,3,30000,81900.0,0.09,14727.19
22,2025-09-14,CUST0391,Customer 0391,Headphones,Electronics,East,5,3000,12300.0,0.18,3339.62
